k, id_centroide, dim1, dim2, dim3, dim4, 
10, 3, 7.475000, 3.125000, 6.300000, 2.050000, 
10, 4, 5.392308, 2.438462, 3.653846, 1.123077, 
10, 5, 6.466667, 2.983333, 4.600000, 1.427778, 
10, 6, 6.036842, 2.705263, 5.000000, 1.778947, 
10, 7, 5.675000, 2.812500, 4.243750, 1.331250, 
10, 8, 4.563636, 3.145455, 1.318182, 0.200000, 
10, 9, 6.568182, 3.086364, 5.536364, 2.163636, 
11, 0, 6.526667, 3.046667, 4.600000, 1.453333, 
11, 1, 5.381250, 3.818750, 1.518750, 0.281250, 
11, 2, 4.558333, 3.075000, 1.316667, 0.208333, 
11, 3, 5.529630, 2.622222, 3.940741, 1.218519, 
11, 4, 6.411111, 2.822222, 5.522222, 1.866667, 
11, 5, 4.977273, 3.313636, 1.504545, 0.236364, 
11, 6, 7.240000, 2.980000, 6.020000, 1.840000, 
11, 7, 7.642857, 3.228571, 6.500000, 2.200000, 
11, 8, 6.457143, 3.257143, 5.671429, 2.357143, 
11, 9, 6.013636, 2.727273, 4.859091, 1.700000, 
11, 10, 6.762500, 3.125000, 5.412500, 2.200000, 
12, 0, 6.531250, 2.987500, 5.431250, 2.062500, 
12, 1, 5.392308, 2.438462, 3.653846, 1.123077, 
12, 2, 6.700000, 3.300000, 5.787500, 2.375000, 
12, 3, 5.255556, 3.670370, 1.503704, 0.288889, 
12, 4, 4.713043, 3.121739, 1.417391, 0.191304, 
12, 5, 5.707143, 2.828571, 4.207143, 1.292857, 
12, 6, 6.180000, 2.600000, 4.980000, 1.630000, 
12, 7, 6.307143, 2.957143, 4.514286, 1.407143, 
12, 8, 6.820000, 3.040000, 4.820000, 1.500000, 
12, 9, 7.716667, 3.166667, 6.566667, 2.150000, 
12, 10, 5.711111, 2.800000, 4.933333, 1.922222, 
12, 11, 7.240000, 2.980000, 6.020000, 1.840000, 
13, 0, 5.800000, 2.857895, 4.373684, 1.373684, 
13, 1, 5.625000, 2.541667, 3.866667, 1.158333, 
13, 2, 4.600000, 3.600000, 1.000000, 0.200000, 
13, 3, 6.633333, 3.033333, 4.633333, 1.458333, 
13, 4, 7.475000, 3.125000, 6.300000, 2.050000, 
13, 5, 6.036842, 2.705263, 5.000000, 1.778947, 
13, 6, 5.000000, 2.300000, 3.275000, 1.025000, 
13, 7, 6.568182, 3.086364, 5.536364, 2.163636, 
13, 8, 4.966667, 3.466667, 1.716667, 0.383333, 
13, 9, 4.400000, 2.880000, 1.280000, 0.200000, 
13, 10, 5.528571, 4.042857, 1.471429, 0.285714, 
13, 11, 5.187500, 3.550000, 1.468750, 0.243750, 
13, 12, 4.813333, 3.133333, 1.446667, 0.186667, 
14, 0, 6.871429, 3.242857, 5.800000, 2.314286, 
14, 1, 4.971429, 3.457143, 1.300000, 0.228571, 
14, 2, 6.400000, 2.800000, 5.562500, 1.850000, 
14, 3, 6.200000, 2.522222, 4.844444, 1.533333, 
14, 4, 6.600000, 3.023077, 4.607692, 1.446154, 
14, 5, 5.400000, 3.910000, 1.430000, 0.240000, 
14, 6, 5.091667, 3.433333, 1.583333, 0.308333, 
14, 7, 5.866667, 2.916667, 4.755556, 1.716667, 
14, 8, 6.671429, 3.085714, 5.257143, 2.157143, 
14, 9, 5.512500, 2.583333, 3.883333, 1.191667, 
14, 10, 4.677778, 3.050000, 1.416667, 0.188889, 
14, 11, 6.325000, 3.275000, 5.700000, 2.350000, 
14, 12, 7.540000, 3.090000, 6.360000, 2.000000, 
14, 13, 5.400000, 3.833333, 1.766667, 0.366667, 
15, 0, 6.420000, 2.860000, 5.480000, 1.880000, 
15, 1, 6.628571, 3.185714, 5.564286, 2.292857, 
15, 2, 5.000000, 2.300000, 3.275000, 1.025000, 
15, 3, 6.200000, 2.600000, 4.971429, 1.657143, 
15, 4, 5.844444, 2.855556, 4.977778, 1.933333, 
15, 5, 6.820000, 3.040000, 4.820000, 1.500000, 
15, 6, 5.308333, 3.716667, 1.575000, 0.275000, 
15, 7, 4.673684, 3.078947, 1.394737, 0.189474, 
15, 8, 5.600000, 4.125000, 1.350000, 0.300000, 
15, 9, 5.026667, 3.420000, 1.493333, 0.273333, 
15, 10, 6.307692, 3.007692, 4.523077, 1.415385, 
15, 11, 5.633333, 2.591667, 3.866667, 1.183333, 
15, 12, 5.572727, 2.845455, 4.309091, 1.372727, 
15, 13, 6.166667, 2.233333, 4.300000, 1.266667, 
15, 14, 7.475000, 3.125000, 6.300000, 2.050000, 
16, 0, 4.800000, 3.400000, 1.100000, 0.200000, 
16, 1, 5.077778, 3.455556, 1.422222, 0.222222, 
16, 2, 6.633333, 3.033333, 4.633333, 1.458333, 
16, 3, 6.569231, 2.938462, 5.415385, 2.015385, 
16, 4, 7.475000, 3.125000, 6.300000, 2.050000, 
16, 5, 5.600000, 4.125000, 1.350000, 0.300000, 
16, 6, 5.450000, 3.583333, 1.533333, 0.250000, 
16, 7, 6.550000, 3.240000, 5.670000, 2.330000, 
16, 8, 4.660000, 3.020000, 1.393333, 0.180000, 
16, 9, 5.166667, 3.850000, 1.616667, 0.300000, 
16, 10, 5.025000, 3.300000, 1.625000, 0.425000, 
16, 11, 5.820000, 2.875000, 4.310000, 1.325000, 
16, 12, 6.200000, 2.433333, 4.916667, 1.450000, 
16, 13, 4.725000, 3.350000, 1.625000, 0.225000, 
16, 14, 5.953846, 2.800000, 4.969231, 1.884615, 
16, 15, 5.357143, 2.442857, 3.714286, 1.164286, 
17, 0, 6.100000, 2.616667, 5.075000, 1.725000, 
17, 1, 7.316667, 2.983333, 6.033333, 1.916667, 
17, 2, 5.675000, 4.100000, 1.450000, 0.275000, 
17, 3, 7.666667, 2.800000, 6.733333, 2.133333, 
17, 4, 4.600000, 3.600000, 1.000000, 0.200000, 
17, 5, 5.077778, 3.455556, 1.422222, 0.222222, 
17, 6, 5.466667, 2.538095, 3.847619, 1.180952, 
17, 7, 4.400000, 2.880000, 1.280000, 0.200000, 
17, 8, 6.568182, 3.086364, 5.536364, 2.163636, 
17, 9, 7.600000, 3.733333, 6.400000, 2.233333, 
17, 10, 4.883333, 3.400000, 1.633333, 0.366667, 
17, 11, 4.815385, 3.100000, 1.453846, 0.176923, 
17, 12, 6.038462, 2.800000, 4.392308, 1.346154, 
17, 13, 5.400000, 3.600000, 1.466667, 0.266667, 
17, 14, 5.166667, 3.850000, 1.616667, 0.300000, 
17, 15, 6.654545, 3.045455, 4.663636, 1.472727, 
17, 16, 5.811111, 3.022222, 4.788889, 1.800000, 
18, 0, 6.250000, 2.250000, 4.450000, 1.400000, 
18, 1, 6.725000, 3.216667, 5.675000, 2.308333, 
18, 2, 4.558333, 3.075000, 1.316667, 0.208333, 
18, 3, 5.000000, 2.300000, 3.275000, 1.025000, 
18, 4, 5.877778, 2.811111, 4.977778, 1.933333, 
18, 5, 6.185714, 2.571429, 5.085714, 1.600000, 
18, 6, 7.316667, 2.983333, 6.033333, 1.916667, 
18, 7, 7.720000, 3.200000, 6.660000, 2.120000, 
18, 8, 6.066667, 3.300000, 4.666667, 1.666667, 
18, 9, 5.509091, 2.818182, 4.281818, 1.363636, 
18, 10, 6.533333, 2.983333, 4.466667, 1.400000, 
18, 11, 4.914286, 3.214286, 1.542857, 0.214286, 
18, 12, 5.182353, 3.570588, 1.500000, 0.276471, 
18, 13, 6.450000, 2.966667, 5.425000, 2.025000, 
18, 14, 5.528571, 4.042857, 1.471429, 0.285714, 
18, 15, 6.066667, 2.916667, 4.500000, 1.383333, 
18, 16, 5.700000, 2.550000, 3.875000, 1.150000, 
18, 17, 6.820000, 3.040000, 4.820000, 1.500000, 
19, 0, 6.620000, 3.186667, 5.533333, 2.273333, 
19, 1, 5.528571, 4.042857, 1.471429, 0.285714, 
19, 2, 6.660000, 3.010000, 4.590000, 1.420000, 
19, 3, 4.400000, 2.880000, 1.280000, 0.200000, 
19, 4, 5.160000, 3.540000, 1.515000, 0.290000, 
19, 5, 5.900000, 3.000000, 4.900000, 1.840000, 
19, 6, 6.411111, 2.822222, 5.522222, 1.866667, 
19, 7, 4.900000, 2.500000, 4.500000, 1.700000, 
19, 8, 5.800000, 2.800000, 5.100000, 2.400000, 
19, 9, 7.475000, 3.125000, 6.300000, 2.050000, 
19, 10, 4.900000, 3.090000, 1.450000, 0.170000, 
19, 11, 5.640000, 2.880000, 4.290000, 1.340000, 
19, 12, 6.114286, 3.028571, 4.571429, 1.428571, 
19, 13, 5.000000, 2.300000, 3.275000, 1.025000, 
19, 14, 6.033333, 2.466667, 4.166667, 1.216667, 
19, 15, 4.675000, 3.312500, 1.462500, 0.212500, 
19, 16, 5.825000, 2.525000, 5.050000, 1.825000, 
19, 17, 5.544444, 2.555556, 3.811111, 1.188889, 
19, 18, 6.300000, 2.714286, 4.971429, 1.685714, 
20, 0, 4.766667, 3.183333, 1.450000, 0.188889, 
20, 1, 6.233333, 2.666667, 4.966667, 1.683333, 
20, 2, 5.628571, 2.723810, 4.133333, 1.295238, 
20, 3, 6.740000, 3.080000, 5.300000, 2.220000, 
20, 4, 5.475000, 3.975000, 1.700000, 0.375000, 
20, 5, 6.433333, 3.150000, 4.516667, 1.466667, 
20, 6, 6.400000, 2.814286, 5.600000, 1.842857, 
20, 7, 5.137500, 3.456250, 1.481250, 0.293750, 
20, 8, 6.566667, 3.244444, 5.711111, 2.333333, 
20, 9, 6.166667, 2.233333, 4.633333, 1.433333, 
20, 10, 6.200000, 2.885714, 4.528571, 1.371429, 
20, 11, 5.350000, 3.900000, 1.437500, 0.225000, 
20, 12, 5.242857, 2.371429, 3.442857, 1.028571, 
20, 13, 7.800000, 3.800000, 6.550000, 2.100000, 
20, 14, 4.400000, 2.800000, 1.275000, 0.200000, 
20, 15, 6.466667, 2.966667, 5.200000, 1.966667, 
20, 16, 7.175000, 3.200000, 5.950000, 2.000000, 
20, 17, 7.566667, 2.850000, 6.450000, 2.066667, 
20, 18, 6.820000, 3.040000, 4.820000, 1.500000, 
20, 19, 5.844444, 2.855556, 4.977778, 1.933333, 
21, 0, 7.475000, 3.125000, 6.300000, 2.050000, 
21, 1, 5.766667, 2.600000, 3.916667, 1.133333, 
21, 2, 5.128571, 3.592857, 1.514286, 0.271429, 
21, 3, 6.387500, 2.800000, 5.500000, 1.762500, 
21, 4, 5.958333, 2.766667, 4.983333, 1.891667, 
21, 5, 5.420000, 2.780000, 4.480000, 1.440000, 
21, 6, 5.350000, 3.400000, 1.550000, 0.325000, 
21, 7, 5.000000, 2.300000, 3.275000, 1.025000, 
21, 8, 6.087500, 3.050000, 4.600000, 1.475000, 
21, 9, 5.528571, 4.042857, 1.471429, 0.285714, 
21, 10, 4.780000, 3.360000, 1.620000, 0.260000, 
21, 11, 5.757143, 2.885714, 4.142857, 1.314286, 
21, 12, 5.566667, 2.466667, 3.666667, 1.033333, 
21, 13, 4.875000, 3.050000, 1.487500, 0.162500, 
21, 14, 5.350000, 2.600000, 3.950000, 1.350000, 
21, 15, 4.457143, 2.957143, 1.328571, 0.200000, 
21, 16, 6.200000, 2.300000, 4.700000, 1.450000, 
21, 17, 6.663636, 3.009091, 4.627273, 1.445455, 
21, 18, 6.600000, 3.152941, 5.517647, 2.252941, 
21, 19, 4.860000, 3.360000, 1.240000, 0.220000, 
21, 20, 5.500000, 2.300000, 4.000000, 1.300000, 
22, 0, 5.400000, 3.540000, 1.500000, 0.240000, 
22, 1, 6.200000, 2.550000, 4.912500, 1.637500, 
22, 2, 5.528571, 4.042857, 1.471429, 0.285714, 
22, 3, 6.150000, 2.887500, 4.500000, 1.375000, 
22, 4, 4.983333, 3.666667, 1.383333, 0.266667, 
22, 5, 6.411111, 2.822222, 5.588889, 1.888889, 
22, 6, 5.000000, 2.300000, 3.275000, 1.025000, 
22, 7, 7.666667, 2.800000, 6.733333, 2.133333, 
22, 8, 5.320000, 2.760000, 4.360000, 1.460000, 
22, 9, 7.485714, 3.214286, 6.200000, 1.942857, 
22, 10, 5.650000, 2.510000, 3.840000, 1.150000, 
22, 11, 6.654545, 3.045455, 4.663636, 1.472727, 
22, 12, 5.755556, 2.855556, 4.177778, 1.277778, 
22, 13, 4.870000, 3.080000, 1.440000, 0.170000, 
22, 14, 5.100000, 3.428571, 1.442857, 0.214286, 
22, 15, 6.716667, 3.066667, 5.250000, 2.133333, 
22, 16, 6.300000, 3.325000, 5.575000, 2.375000, 
22, 17, 4.400000, 2.880000, 1.280000, 0.200000, 
22, 18, 5.844444, 2.855556, 4.977778, 1.933333, 
22, 19, 6.871429, 3.242857, 5.800000, 2.314286, 
22, 20, 4.683333, 3.283333, 1.566667, 0.216667, 
22, 21, 5.050000, 3.500000, 1.700000, 0.475000, 
23, 0, 6.700000, 3.066667, 5.166667, 2.066667, 
23, 1, 6.066667, 3.300000, 4.666667, 1.666667, 
23, 2, 5.800000, 2.800000, 5.100000, 2.400000, 
23, 3, 6.471429, 3.057143, 5.607143, 2.128571, 
23, 4, 6.150000, 2.250000, 4.200000, 1.150000, 
23, 5, 5.000000, 2.300000, 3.275000, 1.025000, 
23, 6, 5.620000, 4.060000, 1.420000, 0.300000, 
23, 7, 5.590909, 2.572727, 3.854545, 1.172727, 
23, 8, 5.350000, 3.400000, 1.550000, 0.325000, 
23, 9, 6.220000, 2.660000, 5.200000, 1.580000, 
23, 10, 6.133333, 2.833333, 4.916667, 1.816667, 
23, 11, 6.688889, 3.022222, 4.622222, 1.433333, 
23, 12, 6.150000, 2.900000, 4.516667, 1.350000, 
23, 13, 5.212500, 3.812500, 1.587500, 0.275000, 
23, 14, 4.500000, 3.187500, 1.275000, 0.200000, 
23, 15, 4.500000, 2.300000, 1.300000, 0.300000, 
23, 16, 4.825000, 3.125000, 1.541667, 0.175000, 
23, 17, 5.058333, 3.433333, 1.433333, 0.266667, 
23, 18, 6.940000, 3.260000, 5.860000, 2.340000, 
23, 19, 7.540000, 3.090000, 6.360000, 2.000000, 
23, 20, 5.560000, 2.640000, 4.920000, 1.900000, 
23, 21, 5.681818, 2.872727, 4.263636, 1.336364, 
23, 22, 6.100000, 2.200000, 4.750000, 1.500000, 
24, 0, 6.825000, 3.100000, 4.825000, 1.525000, 
24, 1, 5.572727, 2.845455, 4.309091, 1.372727, 
24, 2, 6.263636, 3.036364, 4.509091, 1.418182, 
24, 3, 6.557143, 2.957143, 5.407143, 2.035714, 
24, 4, 5.550000, 3.600000, 1.700000, 0.250000, 
24, 5, 6.500000, 2.760000, 4.800000, 1.440000, 
24, 6, 7.720000, 3.200000, 6.660000, 2.120000, 
24, 7, 5.333333, 3.400000, 1.500000, 0.366667, 
24, 8, 7.466667, 2.900000, 6.166667, 2.000000, 
24, 9, 5.058333, 3.433333, 1.433333, 0.266667, 
24, 10, 6.166667, 2.233333, 4.633333, 1.433333, 
24, 11, 5.666667, 4.200000, 1.366667, 0.266667, 
24, 12, 5.466667, 2.466667, 3.883333, 1.200000, 
24, 13, 6.785714, 3.242857, 5.785714, 2.328571, 
24, 14, 5.000000, 2.300000, 3.275000, 1.025000, 
24, 15, 4.725000, 3.350000, 1.625000, 0.225000, 
24, 16, 5.866667, 2.500000, 4.033333, 1.066667, 
24, 17, 6.266667, 3.366667, 5.666667, 2.400000, 
24, 18, 7.166667, 3.066667, 5.900000, 1.833333, 
24, 19, 4.681250, 3.018750, 1.406250, 0.181250, 
24, 20, 5.233333, 3.822222, 1.555556, 0.288889, 
24, 21, 4.600000, 3.600000, 1.000000, 0.200000, 
24, 22, 5.964286, 2.785714, 5.014286, 1.850000, 
24, 23, 5.800000, 2.750000, 3.750000, 1.200000, 
25, 0, 5.528571, 4.042857, 1.471429, 0.285714, 
25, 1, 5.940000, 2.720000, 5.010000, 1.910000, 
25, 2, 7.716667, 3.166667, 6.566667, 2.150000, 
25, 3, 6.612500, 3.125000, 5.275000, 2.175000, 
25, 4, 4.633333, 3.283333, 1.366667, 0.216667, 
25, 5, 6.000000, 2.200000, 5.000000, 1.500000, 
25, 6, 5.300000, 2.833333, 4.500000, 1.566667, 
25, 7, 5.000000, 2.450000, 3.150000, 1.050000, 
25, 8, 6.700000, 3.300000, 5.787500, 2.375000, 
25, 9, 5.650000, 2.510000, 3.840000, 1.150000, 
25, 10, 6.450000, 2.850000, 5.587500, 1.950000, 
25, 11, 5.000000, 2.150000, 3.400000, 1.000000, 
25, 12, 6.150000, 2.900000, 4.200000, 1.350000, 
25, 13, 4.888889, 3.066667, 1.455556, 0.166667, 
25, 14, 6.100000, 2.600000, 5.600000, 1.400000, 
25, 15, 5.611111, 2.800000, 4.188889, 1.255556, 
25, 16, 4.375000, 3.025000, 1.275000, 0.175000, 
25, 17, 5.260000, 3.630000, 1.550000, 0.270000, 
25, 18, 6.690000, 3.020000, 4.660000, 1.460000, 
25, 19, 4.800000, 3.400000, 1.900000, 0.200000, 
25, 20, 6.062500, 3.087500, 4.687500, 1.612500, 
25, 21, 6.240000, 2.520000, 4.720000, 1.400000, 
25, 22, 4.500000, 2.300000, 1.300000, 0.300000, 
25, 23, 5.033333, 3.433333, 1.483333, 0.291667, 
25, 24, 7.240000, 2.980000, 6.020000, 1.840000, 
26, 0, 5.342857, 3.514286, 1.485714, 0.228571, 
26, 1, 5.550000, 3.850000, 1.700000, 0.350000, 
26, 2, 5.700000, 2.900000, 4.166667, 1.316667, 
26, 3, 5.600000, 4.300000, 1.450000, 0.300000, 
26, 4, 4.400000, 2.800000, 1.275000, 0.200000, 
26, 5, 4.858333, 3.100000, 1.466667, 0.175000, 
26, 6, 6.007143, 2.664286, 5.050000, 1.785714, 
26, 7, 4.580000, 3.320000, 1.280000, 0.220000, 
26, 8, 5.000000, 2.000000, 3.500000, 1.000000, 
26, 9, 6.583333, 3.000000, 5.233333, 2.050000, 
26, 10, 7.577778, 3.144444, 6.433333, 2.122222, 
26, 11, 5.100000, 2.500000, 3.000000, 1.100000, 
26, 12, 6.471429, 2.742857, 4.457143, 1.385714, 
26, 13, 4.950000, 2.350000, 3.300000, 1.000000, 
26, 14, 6.881818, 3.081818, 5.727273, 2.100000, 
26, 15, 4.800000, 3.400000, 1.750000, 0.200000, 
26, 16, 6.150000, 2.850000, 4.150000, 1.300000, 
26, 17, 5.066667, 3.577778, 1.455556, 0.255556, 
26, 18, 5.420000, 2.780000, 4.480000, 1.440000, 
26, 19, 5.050000, 3.500000, 1.700000, 0.475000, 
26, 20, 5.425000, 2.475000, 3.925000, 1.275000, 
26, 21, 5.725000, 2.575000, 3.837500, 1.100000, 
26, 22, 6.355556, 3.100000, 5.600000, 2.177778, 
26, 23, 5.466667, 4.000000, 1.333333, 0.233333, 
26, 24, 6.100000, 3.070000, 4.670000, 1.560000, 
26, 25, 6.820000, 3.040000, 4.820000, 1.500000, 
27, 0, 6.266667, 3.366667, 5.666667, 2.400000, 
27, 1, 7.716667, 3.166667, 6.566667, 2.150000, 
27, 2, 4.690000, 3.085000, 1.385000, 0.190000, 
27, 3, 5.000000, 2.400000, 3.200000, 1.033333, 
27, 4, 6.450000, 3.033333, 5.316667, 1.966667, 
27, 5, 5.650000, 2.925000, 4.250000, 1.362500, 
27, 6, 5.000000, 2.000000, 3.500000, 1.000000, 
27, 7, 5.666667, 2.477778, 3.933333, 1.133333, 
27, 8, 5.600000, 2.900000, 3.600000, 1.300000, 
27, 9, 5.600000, 3.800000, 1.375000, 0.275000, 
27, 10, 5.975000, 3.050000, 4.900000, 1.800000, 
27, 11, 5.600000, 2.700000, 4.450000, 1.250000, 
27, 12, 7.240000, 2.980000, 6.020000, 1.840000, 
27, 13, 6.825000, 3.050000, 5.300000, 2.200000, 
27, 14, 6.460000, 2.800000, 5.680000, 2.020000, 
27, 15, 6.125000, 2.950000, 4.450000, 1.375000, 
27, 16, 5.740000, 2.700000, 5.040000, 2.040000, 
27, 17, 6.200000, 2.300000, 4.700000, 1.450000, 
27, 18, 6.654545, 3.045455, 4.663636, 1.472727, 
27, 19, 5.200000, 2.700000, 3.900000, 1.400000, 
27, 20, 6.200000, 2.683333, 5.083333, 1.666667, 
27, 21, 4.900000, 2.500000, 4.500000, 1.700000, 
27, 22, 5.075000, 3.431250, 1.525000, 0.281250, 
27, 23, 5.600000, 4.300000, 1.450000, 0.300000, 
27, 24, 5.700000, 2.600000, 3.500000, 1.000000, 
27, 25, 5.212500, 3.812500, 1.587500, 0.275000, 
27, 26, 6.833333, 3.283333, 5.783333, 2.350000, 
28, 0, 4.870000, 3.080000, 1.470000, 0.170000, 
28, 1, 5.614286, 2.414286, 3.842857, 1.114286, 
28, 2, 4.900000, 2.500000, 4.500000, 1.700000, 
28, 3, 6.366667, 2.666667, 5.666667, 1.666667, 
28, 4, 6.266667, 2.766667, 4.933333, 1.700000, 
28, 5, 5.668750, 2.825000, 4.150000, 1.300000, 
28, 6, 5.766667, 2.633333, 5.066667, 1.933333, 
28, 7, 6.587500, 3.062500, 5.600000, 2.200000, 
28, 8, 5.620000, 4.060000, 1.420000, 0.300000, 
28, 9, 5.228571, 3.814286, 1.542857, 0.257143, 
28, 10, 5.000000, 2.400000, 3.200000, 1.033333, 
28, 11, 5.700000, 2.800000, 5.000000, 2.200000, 
28, 12, 5.950000, 2.850000, 5.100000, 1.700000, 
28, 13, 6.820000, 3.040000, 4.820000, 1.500000, 
28, 14, 7.240000, 2.980000, 6.020000, 1.840000, 
28, 15, 6.780000, 3.320000, 5.880000, 2.420000, 
28, 16, 6.200000, 2.300000, 4.700000, 1.450000, 
28, 17, 5.050000, 3.500000, 1.700000, 0.475000, 
28, 18, 6.512500, 3.125000, 5.287500, 2.100000, 
28, 19, 4.510000, 3.090000, 1.300000, 0.210000, 
28, 20, 5.000000, 2.000000, 3.500000, 1.000000, 
28, 21, 6.350000, 2.600000, 5.150000, 1.900000, 
28, 22, 5.166667, 3.450000, 1.441667, 0.233333, 
28, 23, 6.533333, 2.983333, 4.466667, 1.400000, 
28, 24, 6.000000, 3.066667, 4.833333, 1.800000, 
28, 25, 6.114286, 3.028571, 4.571429, 1.428571, 
28, 26, 4.800000, 3.400000, 1.750000, 0.200000, 
28, 27, 7.716667, 3.166667, 6.566667, 2.150000, 
29, 0, 5.600000, 2.383333, 3.900000, 1.133333, 
29, 1, 5.550000, 2.850000, 4.475000, 1.375000, 
29, 2, 6.950000, 3.150000, 4.800000, 1.450000, 
29, 3, 7.800000, 3.800000, 6.550000, 2.100000, 
29, 4, 6.750000, 2.900000, 4.900000, 1.550000, 
29, 5, 7.240000, 2.980000, 6.020000, 1.840000, 
29, 6, 6.677778, 3.266667, 5.788889, 2.355556, 
29, 7, 5.400000, 2.850000, 4.000000, 1.350000, 
29, 8, 6.612500, 3.125000, 5.275000, 2.175000, 
29, 9, 7.666667, 2.800000, 6.733333, 2.133333, 
29, 10, 6.100000, 2.600000, 5.600000, 1.400000, 
29, 11, 4.850000, 3.142857, 1.507143, 0.178571, 
29, 12, 5.766667, 2.750000, 5.050000, 2.000000, 
29, 13, 5.650000, 2.750000, 3.550000, 1.150000, 
29, 14, 4.900000, 2.500000, 4.500000, 1.700000, 
29, 15, 5.788889, 2.800000, 4.100000, 1.255556, 
29, 16, 7.700000, 3.000000, 6.100000, 2.300000, 
29, 17, 5.520000, 4.120000, 1.380000, 0.260000, 
29, 18, 4.400000, 2.800000, 1.275000, 0.200000, 
29, 19, 6.150000, 2.900000, 4.516667, 1.350000, 
29, 20, 4.580000, 3.320000, 1.280000, 0.220000, 
29, 21, 5.078571, 3.521429, 1.492857, 0.300000, 
29, 22, 6.200000, 2.600000, 4.971429, 1.657143, 
29, 23, 6.583333, 3.016667, 4.533333, 1.433333, 
29, 24, 6.060000, 3.180000, 4.740000, 1.720000, 
29, 25, 5.000000, 2.300000, 3.275000, 1.025000, 
29, 26, 6.250000, 2.250000, 4.450000, 1.400000, 
29, 27, 5.400000, 3.650000, 1.600000, 0.287500, 
29, 28, 6.442857, 2.828571, 5.557143, 1.914286, 
30, 0, 4.625000, 3.350000, 1.275000, 0.225000, 
30, 1, 4.700000, 3.133333, 1.566667, 0.200000, 
30, 2, 5.050000, 3.650000, 1.750000, 0.500000, 
30, 3, 5.700000, 2.900000, 4.166667, 1.316667, 
30, 4, 5.528571, 4.042857, 1.471429, 0.285714, 
30, 5, 6.900000, 3.325000, 5.850000, 2.300000, 
30, 6, 5.420000, 2.780000, 4.480000, 1.440000, 
30, 7, 5.000000, 2.450000, 3.150000, 1.050000, 
30, 8, 5.181818, 3.436364, 1.445455, 0.236364, 
30, 9, 6.133333, 2.700000, 5.266667, 1.500000, 
30, 10, 6.300000, 3.325000, 5.575000, 2.375000, 
30, 11, 5.666667, 2.477778, 3.933333, 1.133333, 
30, 12, 7.240000, 2.980000, 6.020000, 1.840000, 
30, 13, 6.442857, 2.828571, 5.557143, 1.914286, 
